id,self_link,title,subtitle,authors,publisher,description,industry_identifier,reading_modes_text,reading_modes_image,page_count,categories,language,image_link,ratings_count,average_rating,sale_country,saleability,is_ebook,list_price_amount,list_price_currency,retail_price_amount,retail_price_currency,buy_link,published_date
_2nYAAAAMAAJ,https://www.googleapis.com/books/v1/volumes/_2nYAAAAMAAJ,"Christian Living","A Magazine for Home and Community",,,,PSU:000063009989,0,0,548,Mennonites,en,http://books.google.com/books/content?id=_2nYAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,1966
_2VCAQAAMAAJ,https://www.googleapis.com/books/v1/volumes/_2VCAQAAMAAJ,"The Selborne Magazine and "Nature Notes,"","The Organ of the Selborne Society",,,,UIUC:30112018145299,0,1,560,"Natural history",en,http://books.google.com/books/content?id=_2VCAQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FREE,1,0,,0,,https://play.google.com/store/books/details?id=_2VCAQAAMAAJ&rdid=book-_2VCAQAAMAAJ&rdot=1&source=gbs_api,1907
_3U5uwEACAAJ,https://www.googleapis.com/books/v1/volumes/_3U5uwEACAAJ,"Hands-On Bitcoin Programming with Python",,"Harish Kumar Garg","Packt Publishing","Simplified Python programming for Bitcoin and blockchain Key Features Build Bitcoin applications in Python with the help of simple examples Mine Bitcoins, program Bitcoin-enabled APIs and transaction graphs, and build trading bots Analyze Bitcoin transactions and produce visualizations using Python data analysis tools Book Description Bitcoin is a cryptocurrency that's changing the face of online payments. Hands-On Bitcoin Programming with Python teaches you to build software applications for mining and creating Bitcoins using Python. This book starts with the basics of both Bitcoin and blockchain and gives you an overview of these inherent concepts by showing you how to build Bitcoin-driven applications with Python. Packed with clear instructions and practical examples, you will learn to understand simple Python coding examples that work with this cryptocurrency. By the end of the book, you'll be able to mine Bitcoins, accept Bitcoin payments on the app, and work with the basics of blockchain technology to create simply distributed ledgers. What you will learn Master the Bitcoin APIs in Python to manipulate Bitcoin from your Python apps Build your own Bitcoin trading bots to buy Bitcoins at a lower price and sell them at a higher price Write scripts to process Bitcoin payments through a website or app Develop software for Bitcoin mining to create Bitcoin currency on your own computer hardware Create your own keys, addresses, and wallets in Python code Write software to analyze Bitcoin transactions and produce reports, graphs, and other visualizations Who this book is for Hands-On Bitcoin Programming with Python consists of examples that will teach you to build your own Bitcoin application. You will learn to write scripts, build software for mining, and create Bitcoins using Python. Anyone with prior Python experience, who wants to explore Python Bitcoin programming and start building Bitcoin-driven Python apps, will find this book useful.",1789537002,0,0,90,Computers,en,http://books.google.com/books/content?id=_3U5uwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2018-08-30
_5sQAwAAQBAJ,https://www.googleapis.com/books/v1/volumes/_5sQAwAAQBAJ,"Practical OpenCV",,"Samarth Brahmbhatt",Apress,"Practical OpenCV is a hands-on project book that shows you how to get the best results from OpenCV, the open-source computer vision library. Computer vision is key to technologies like object recognition, shape detection, and depth estimation. OpenCV is an open-source library with over 2500 algorithms that you can use to do all of these, as well as track moving objects, extract 3D models, and overlay augmented reality. It's used by major companies like Google (in its autonomous car), Intel, and Sony; and it is the backbone of the Robot Operating System’s computer vision capability. In short, if you're working with computer vision at all, you need to know OpenCV. With Practical OpenCV, you'll be able to: Get OpenCV up and running on Windows or Linux. Use OpenCV to control the camera board and run vision algorithms on Raspberry Pi. Understand what goes on behind the scenes in computer vision applications like object detection, image stitching, filtering, stereo vision, and more. Code complex computer vision projects for your class/hobby/robot/job, many of which can execute in real time on off-the-shelf processors. Combine different modules that you develop to create your own interactive computer vision app.",9781430260806,1,1,229,Computers,en,http://books.google.com/books/content?id=_5sQAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2013-11-30
_fsElhcbSwIC,https://www.googleapis.com/books/v1/volumes/_fsElhcbSwIC,"Python For Dummies",,"Stef Maruch, Aahz Maruch","John Wiley & Sons","Python is one of the most powerful, easy-to-read programming languages around, but it does have its limitations. This general purpose, high-level language that can be extended and embedded is a smart option for many programming problems, but a poor solution to others. Python For Dummies is the quick-and-easy guide to getting the most out of this robust program. This hands-on book will show you everything you need to know about building programs, debugging code, and simplifying development, as well as defining what actions it can perform. You’ll wrap yourself around all of its advanced features and become an expert Python user in no time. This guide gives you the tools you need to: Master basic elements and syntax Document, design, and debug programs Work with strings like a pro Direct a program with control structures Integrate integers, complex numbers, and modules Build lists, stacks, and queues Create an organized dictionary Handle functions, data, and namespace Construct applications with modules and packages Call, create, extend, and override classes Access the Internet to enhance your library Understand the new features of Python 2.5 Packed with critical idioms and great resources to maximize your productivity, Python For Dummies is the ultimate one-stop information guide. In a matter of minutes you’ll be familiar with Python’s building blocks, strings, dictionaries, and sets; and be on your way to writing the program that you’ve dreamed about!",9781118084847,1,1,443,Computers,en,http://books.google.com/books/content?id=_fsElhcbSwIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3,2,IN,NOT_FOR_SALE,0,0,,0,,,2011-05-09
_hTIEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/_hTIEAAAQBAJ,"Programming with Python","And Its Applications to Physical Systems","M. Shubhakanta Singh","Taylor & Francis","This book is an introduction to Python Programming and provides a practical approach to the subject. The basic concepts of Python are explained in detail and augmented with examples and diagrams for a thorough understanding of the subject. The book is primarily aimed at students with little or no prior knowledge of programming languages. However, self-taught and hobbyist programmers, scientists, engineers, computing professionals and computer scientists and others who need to program as part of their work may also use this book for understanding the basic concepts of Python. Print edition not for sale in South Asia (India, Sri Lanka, Nepal, Bangladesh, Pakistan or Bhutan)",9781000985733,1,1,366,Computers,en,http://books.google.com/books/content?id=_hTIEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,1,6307,INR,6307,INR,https://play.google.com/store/books/details?id=_hTIEAAAQBAJ&rdid=book-_hTIEAAAQBAJ&rdot=1&source=gbs_api,2023-10-06
_J5lEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/_J5lEAAAQBAJ,"Python Packages",,"Tomas Beuzen, Tiffany Timbers","CRC Press","Python Packages introduces Python packaging at an introductory and practical level that’s suitable for those with no previous packaging experience. Despite this, the text builds up to advanced topics such as automated testing, creating documentation, versioning and updating a package, and implementing continuous integration and deployment. Covering the entire Python packaging life cycle, this essential guide takes readers from package creation all the way to effective maintenance and updating. Python Packages focuses on the use of current and best-practice packaging tools and services like poetry, cookiecutter, pytest, sphinx, GitHub, and GitHub Actions. Features: The book’s source code is available online as a GitHub repository where it is collaborated on, automatically tested, and built in real time as changes are made; demonstrating the use of good reproducible and clear project workflows. Covers not just the process of creating a package, but also how to document it, test it, publish it to the Python Package Index (PyPI), and how to properly version and update it. All concepts in the book are demonstrated using examples. Readers can follow along, creating their own Python packages using the reproducible code provided in the text. Focuses on a modern approach to Python packaging with emphasis on automating and streamlining the packaging process using new and emerging tools such as poetry and GitHub Actions.",9781000555127,1,1,252,Computers,en,http://books.google.com/books/content?id=_J5lEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,1,4633,INR,4633,INR,https://play.google.com/store/books/details?id=_J5lEAAAQBAJ&rdid=book-_J5lEAAAQBAJ&rdot=1&source=gbs_api,2022-04-20
_KtCAQAAMAAJ,https://www.googleapis.com/books/v1/volumes/_KtCAQAAMAAJ,Man,,,,,UCAL:C3312166,0,1,468,Anthropology,en,http://books.google.com/books/content?id=_KtCAQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FREE,1,0,,0,,https://play.google.com/store/books/details?id=_KtCAQAAMAAJ&rdid=book-_KtCAQAAMAAJ&rdot=1&source=gbs_api,1908
_qEmAQAAIAAJ,https://www.googleapis.com/books/v1/volumes/_qEmAQAAIAAJ,"The Tank",,,,,UCAL:B2867362,0,0,1032,,en,http://books.google.com/books/content?id=_qEmAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,1950
_RkoAAAAYAAJ,https://www.googleapis.com/books/v1/volumes/_RkoAAAAYAAJ,"Africana, Or, The Heart of Heathen Africa",,"Duff Macdonald",,,HARVARD:32044009640434,0,1,414,"Africa, East",en,http://books.google.com/books/content?id=_RkoAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FREE,1,0,,0,,https://play.google.com/store/books/details?id=_RkoAAAAYAAJ&rdid=book-_RkoAAAAYAAJ&rdot=1&source=gbs_api,1882
